dataset,split,n,rule_reliance_mean,correction_reliance_mean,applicability_mean,reliance_applicability_spearman,reliance_error_spearman
ESOL,random,840,0.594985758768659,0.405014241231341,0.7847796607871195,0.6597771765233827,-0.014168691120189064
ESOL,scaffold,840,0.5574816692637147,0.4425183307362853,0.7731739990773522,0.534149706178395,-0.10243976194531942
ESOL,butina,840,0.5334433831407556,0.46655661685924443,0.7339291000339602,0.637936457781858,-0.11592187225726955
BBBP,random,1470,0.15858442372639436,0.8414155762736056,0.8106623004928636,0.3238251650724811,0.11126302509544017
BBBP,scaffold,1465,0.2262245919204156,0.7737754080795844,0.8164710947038147,0.40845714826025775,0.055421632858055965
BBBP,butina,1465,0.3141703348755926,0.6858296651244074,0.7898896750571226,0.5315303736528202,0.16025938908248616
