dataset,split,seed,n_external,overlap_removed,n_positive,n_negative,model,AUROC,AUPRC,MCC,BalancedAccuracy,Brier,ECE,LogLoss,UncertaintyErrorSpearman
B3DB_external,transfer,20260711,6049,1753,3543,2506,Fixed_rule,0.7899233203562931,0.7822286408518049,0.4277920282149015,0.7162141371574717,0.1829686909914016,0.0943679484560442,0.5501998671148466,
B3DB_external,transfer,20260711,6049,1753,3543,2506,ExtraTrees_desc,0.9065865405949796,0.9298086419597684,0.6303471133798647,0.8041874775728768,0.1251855802623458,0.0529535167364927,0.3999675125104537,
B3DB_external,transfer,20260711,6049,1753,3543,2506,RF_Morgan,0.8946808776632947,0.9160090383300457,0.5989582634562067,0.7696360234167887,0.137475751874188,0.0862040114528032,0.4320149142987893,
B3DB_external,transfer,20260711,6049,1753,3543,2506,Graph_descriptor_fusion,0.8915903553177145,0.9047180597313872,0.6164298472099429,0.8018030787639443,0.1299799084663391,0.0539750984459893,0.4256337672499105,0.7645417024118499
B3DB_external,transfer,20260711,6049,1753,3543,2506,Proposed_AGRR,0.8826602774847563,0.8911432996676374,0.61712486361365,0.7984403336592798,0.1335661262273788,0.0472317989302836,0.4406680152867104,0.7094337326565561
