metric,stored,recomputed,absolute_difference
AUROC,0.8826602774847563,0.8826602774847563,0.0
AUPRC,0.8911432996676374,0.8911432996676374,0.0
MCC,0.61712486361365,0.61712486361365,0.0
BalancedAccuracy,0.7984403336592798,0.7984403336592798,0.0
Brier,0.1335661262273788,0.1335661284821258,2.254747000218771e-09
ECE,0.0472317989302836,0.047231801873615545,2.943331946225758e-09
LogLoss,0.4406680152867104,0.44066824270201554,2.2741530514291952e-07
UncertaintyErrorSpearman,0.7094337326565561,0.7094337326565561,0.0
