dataset,n_molecules,recomputed_spearman,stored_spearman,recomputed_top5_jaccard,stored_top5_jaccard
BBBP,120,0.7136131996658311,0.7136131996658311,0.4795524691358025,0.4795524691358024
ESOL,120,0.6390811805033023,0.6390811805033023,0.42568342151675476,0.4256834215167548
