dataset,split,failure_score_spearman,failure_score_sd,applicability_spearman,distance_spearman,failure_score_aurc,applicability_aurc,distance_aurc,relative_reduction_at_50pct
BBBP,butina,0.7203975887738725,0.06560681718122906,-0.15673031965680298,-0.009826190036562498,0.2621386220715979,0.3739583611434107,0.3645444149733031,0.29709173337371975
BBBP,random,0.7990805931772029,0.029434339797027392,-0.18757923783066827,0.1193577966648061,0.2255424005389067,0.34045514453716696,0.31291052767906385,0.36182343809409007
BBBP,scaffold,0.7830835197004586,0.03101170886982554,-0.2544181623446243,0.07703270540619354,0.22085764582569914,0.3404036616815985,0.3035772956805101,0.36087413804858703
ESOL,butina,0.47018261748297735,0.04822698305128757,0.1446974032143043,0.0399891296914451,0.619077341915555,0.7853721106606601,0.8390362937229195,0.2756234682210119
ESOL,random,0.5917564888166673,0.05485142394113891,0.19742020987469816,-0.05191161614776259,0.5256088128909233,0.6920556456923125,0.818544480972896,0.380550742268445
ESOL,scaffold,0.40940859807358604,0.07342113105342969,0.09924335668290164,0.004792482959628702,0.6914983775609749,0.8142816045681741,0.8941748768656688,0.21970950738088013
