dataset,split,seed,n_molecules,pairwise_abs_attribution_spearman,top5_jaccard
ESOL,scaffold,20260711,120,0.6390811805033023,0.42568342151675487
BBBP,scaffold,20260711,120,0.7136131996658311,0.47955246913580246
